numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z
3,[ 3 43 43],[0.140625 2.015625 2.015625],[0 0 0],[0. 0. 0.],[1529  752  577],[-0.03515625  0.0625     -0.81835938],[0.13671875 2.015625   1.84179688],[0. 0. 0.]
3,[43 47 43],[2.015625 2.203125 2.015625],[0 0 0],[0. 0. 0.],[729 948 570],[ 0.0625     -0.7578125  -0.75585938],[2.015625   2.06835938 1.86914062],[0. 0. 0.]
3,[43 47 43],[2.015625 2.203125 2.015625],[0 0 0],[0. 0. 0.],[719 886 574],[ 0.12695312 -0.7578125  -0.75585938],[2.01171875 2.06835938 1.86914062],[0. 0. 0.]
1,[4],[0.1875],[0],[0.],[1002],[-0.06445312],[0.17578125],[0.]
4,[ 1  3 47  3],[0.046875 0.140625 2.203125 0.140625],[0 0 0 0],[0. 0. 0. 0.],[1841 2034  887 1455],[-0.04492188 -0.02148438 -0.7578125  -0.0703125 ],[0.01171875 0.13867188 2.06835938 0.12109375],[0. 0. 0. 0.]
3,[ 3 47  3],[0.140625 2.203125 0.140625],[0 0 0],[0. 0. 0.],[1635  991 1269],[-0.0625     -0.7578125  -0.02148438],[0.12695312 2.06835938 0.13867188],[0. 0. 0.]
2,[ 3 47],[0.140625 2.203125],[0 0],[0. 0.],[1866 1088],[-0.0703125  -0.68945312],[0.12109375 2.09375   ],[0. 0.]
2,[ 3 47],[0.140625 2.203125],[0 0],[0. 0.],[1964 1060],[-0.03125    -0.68945312],[0.13671875 2.09375   ],[0. 0.]
3,[ 3 47  3],[0.140625 2.203125 0.140625],[0 0 0],[0. 0. 0.],[1329  988 1095],[-0.08789062 -0.68945312  0.11523438],[0.109375   2.09375    0.08203125],[0. 0. 0.]
3,[ 3 21 47],[0.140625 0.984375 2.203125],[0 0 0],[0. 0. 0.],[2087  482  905],[-0.02148438  0.89257812 -0.68945312],[0.13867188 0.41601562 2.09375   ],[0. 0. 0.]
